participants;elecs;elec_label;con_idx;con_label1;con_label2;con_label3;time;time_label;amplitude
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;1;cue_left_3t3d;cue_left;3t_3d;[-1000 0]ms;tracking;2.57355533559251
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;1;cue_left_3t3d;cue_left;3t_3d;[-1000 0]ms;tracking;4.43115734768771
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;2;cue_right_3t3d;cue_right;3t_3d;[-1000 0]ms;tracking;4.00678699221679
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;2;cue_right_3t3d;cue_right;3t_3d;[-1000 0]ms;tracking;0.483893998220027
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;3;cue_left_6t;cue_left;6t;[-1000 0]ms;tracking;-0.229602519586045
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;3;cue_left_6t;cue_left;6t;[-1000 0]ms;tracking;6.34960790194122
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;4;cue_right_6t;cue_right;6t;[-1000 0]ms;tracking;2.45565900402748
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;4;cue_right_6t;cue_right;6t;[-1000 0]ms;tracking;-2.44883372596336
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;5;cue_left_3t;cue_left;3t;[-1000 0]ms;tracking;0.0915012697761712
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;5;cue_left_3t;cue_left;3t;[-1000 0]ms;tracking;1.98417340882624
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;6;cue_right_3t;cue_right;3t;[-1000 0]ms;tracking;6.14163165058169
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;6;cue_right_3t;cue_right;3t;[-1000 0]ms;tracking;-0.52421394999072
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;1;cue_left_3t3d;cue_left;3t_3d;[500 1000]ms;retention;1.12123124768467
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;1;cue_left_3t3d;cue_left;3t_3d;[500 1000]ms;retention;0.934515251540317
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;2;cue_right_3t3d;cue_right;3t_3d;[500 1000]ms;retention;3.34664978162357
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;2;cue_right_3t3d;cue_right;3t_3d;[500 1000]ms;retention;-0.393813393575089
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;3;cue_left_6t;cue_left;6t;[500 1000]ms;retention;-0.301944743112711
VP01;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;3;cue_left_6t;cue_left;6t;[500 1000]ms;retention;2.87846960519195
VP01;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;4;cue_right_6t;cue_right;6t;[500 1000]ms;retention;2.06380796835635
