trialnumber,blocknumber,trialtype,condition,RDK2display,cue,freq_attended,cue_onset_fr,cue_onset_t_est,cue_onset_t_meas,precue_frames,precue_times,postcue_frames,postcue_times,retention_frames,retention_times,eventtype,eventRDK,eventfreq,precue_eventnum,precue_eventid,precue_eventtype,precue_event_onset_fr,precue_event_onset_t_est,triggernum_cue,triggernum_retent,triggernum_event,event_response_type,event_response_RT,precue_event_response_type,precue_event_response_RT,triggernum_precue_event,participant,relevantcol,con1label,con2label,con3label
1,1,1,3,[1 2 4 5],1,23,865,1802.08333333333,NaN,864,1.8,912,1.9,480,1,2,1,23,0,NaN,NaN,NaN,NaN,30,31,36,hit,586.895990371704,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
2,1,1,5,[1 4],1,23,769,1602.08333333333,NaN,768,1.6,768,1.6,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,713.161039352417,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
3,1,2,1,[1 3 4 6],1,23,961,2002.08333333333,NaN,960,2,528,1.1,480,1,1,1,23,0,NaN,NaN,NaN,NaN,10,11,15,hit,1135.23116111755,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
4,1,2,6,[1 4],2,17,913,1902.08333333333,NaN,912,1.9,480,1,480,1,2,4,20,1,4,2,624,1.3,60,61,66,hit,809.122657775879,miss,NaN,82,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
5,1,1,1,[1 3 4 6],1,23,961,2002.08333333333,NaN,960,2,912,1.9,480,1,1,1,23,0,NaN,NaN,NaN,NaN,10,11,15,hit,415.499305725098,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t3d,cue_left,3t_3d
6,1,1,4,[1 2 4 5],2,17,961,2002.08333333333,NaN,960,2,720,1.5,480,1,1,5,26,0,NaN,NaN,NaN,NaN,40,41,45,hit,1270.90883255005,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
7,1,1,4,[1 2 4 5],2,17,817,1702.08333333333,NaN,816,1.7,960,2,480,1,1,5,26,0,NaN,NaN,NaN,NaN,40,41,45,error,1102.66070365906,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
8,1,1,3,[1 2 4 5],1,23,769,1602.08333333333,NaN,768,1.6,816,1.7,480,1,2,2,17,0,NaN,NaN,NaN,NaN,30,31,36,hit,585.316848754883,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
9,1,1,3,[1 2 4 5],1,23,865,1802.08333333333,NaN,864,1.8,960,2,480,1,1,2,17,0,NaN,NaN,NaN,NaN,30,31,35,hit,893.452119827271,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
10,1,1,6,[1 4],2,17,817,1702.08333333333,NaN,816,1.7,912,1.9,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,668.381357192993,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
11,1,1,2,[1 3 4 6],2,17,961,2002.08333333333,NaN,960,2,912,1.9,480,1,1,4,20,0,NaN,NaN,NaN,NaN,20,21,25,hit,553.294277191162,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t3d,cue_right,3t_3d
12,1,1,4,[1 2 4 5],2,17,769,1602.08333333333,NaN,768,1.6,720,1.5,480,1,1,4,20,0,NaN,NaN,NaN,NaN,40,41,45,error,1124.83563423157,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
13,1,1,3,[1 2 4 5],1,23,817,1702.08333333333,NaN,816,1.7,960,2,480,1,2,1,23,1,1,1,288,0.6,30,31,36,hit,830.259132385254,hit,819.426918029785,81,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
14,1,1,6,[1 4],2,17,961,2002.08333333333,NaN,960,2,768,1.6,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,error,945.659780502319,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
15,1,1,4,[1 2 4 5],2,17,865,1802.08333333333,NaN,864,1.8,816,1.7,480,1,1,4,20,0,NaN,NaN,NaN,NaN,40,41,45,hit,574.677228927612,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
16,1,1,6,[1 4],2,17,865,1802.08333333333,NaN,864,1.8,912,1.9,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,653.499412536621,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
17,1,1,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,912,1.9,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,521.023511886597,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
18,1,1,6,[1 4],2,17,721,1502.08333333333,NaN,720,1.5,720,1.5,480,1,2,4,20,0,NaN,NaN,NaN,NaN,60,61,66,hit,568.937540054321,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
19,1,1,5,[1 4],1,23,721,1502.08333333333,NaN,720,1.5,912,1.9,480,1,1,1,23,1,2,2,384,0.8,50,51,55,error,1305.83391189575,error,619.741153717041,82,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
20,1,1,6,[1 4],2,17,769,1602.08333333333,NaN,768,1.6,960,2,480,1,1,4,20,0,NaN,NaN,NaN,NaN,60,61,65,hit,550.162935256958,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
21,1,1,6,[1 4],2,17,961,2002.08333333333,NaN,960,2,960,2,480,1,1,4,20,1,3,1,480,1,60,61,65,hit,931.924104690552,hit,904.92057800293,81,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
22,1,2,6,[1 4],2,17,961,2002.08333333333,NaN,960,2,624,1.3,480,1,1,4,20,1,4,2,240,0.5,60,61,65,hit,550.31795501709,hit,671.367168426514,82,Pilot_CG_VP90,orange,cue_right_3t,cue_right,3t
23,1,2,5,[1 4],1,23,913,1902.08333333333,NaN,912,1.9,384,0.8,480,1,1,1,23,0,NaN,NaN,NaN,NaN,50,51,55,hit,681.920099258423,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_3t,cue_left,3t
24,1,1,4,[1 2 4 5],2,17,865,1802.08333333333,NaN,864,1.8,912,1.9,480,1,1,5,26,0,NaN,NaN,NaN,NaN,40,41,45,hit,687.380838394165,noevent,NaN,,Pilot_CG_VP90,orange,cue_right_6t,cue_right,6t
25,1,1,3,[1 2 4 5],1,23,817,1702.08333333333,NaN,816,1.7,960,2,480,1,2,2,17,0,NaN,NaN,NaN,NaN,30,31,36,hit,970.87459564209,noevent,NaN,,Pilot_CG_VP90,orange,cue_left_6t,cue_left,6t
